Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C5, C6, C7, C8, C9",C_0402,9,100nF,
C13,C_0603,1,47uF,
C2,C_0402,1,22uF,
C21,C_0603_,1,10uF 35V,C194427
C22,C_0603_,1,10uF 6.3V,C1691
C23,C_0603_,1,100nF,
C3,C_0402,1,1uF,
C4,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"D10, D11, D12, D13, D14, D3, D7, D8, D9",DFN1006-2L,9,~,C5137770
"D19, D20",D_SOD-123,2,MBR0530,C5204746
"D4, D5, D6",SMD1010-Side2,3,XL-1010RGBC-WS2812B,C5349953
J1,LCD2,1,LCD,C42380985
J2,WAGO-2060-452-998-404,1,DC,C2765055
J3,WAGO-2060-453-998-404,1,TEMP,C2765056
J6,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L4,L_4x4_,1,10uH,C167879
"R13, R6, R7",R_0402,3,4k7,C25900
R17,R_0402_,1,124k,C2933070
R18,R_0402_,1,39k2,C7467415
R27,R_0402_,1,1M,C26083
"R3, R4",R_0402,2,5K1,C25905
R5,R_0402,1,10K,C25744
R9,R_0402,1,47R,C25118
SW1,Switch-Nav5,1,~,C145900
T1,T3902_MEMS_Mic_Open,1,T3902_MEMS_Mic,C3171752
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U2,SCD41,1,SCD41,C3659294
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U5,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,GZP6816D,C3038127
U6,"IR-SMD-4P,3.35x3.9mm",1,IRMHF384,C7280961
U7,Sensirion_DFN-4_1.5x1.5mm_P0.5mm_SHT4x-Side,1,SHT40,C2909890
U8,VEML6040-Side,1,VEML6040,C78465
